
DespPorOrgaoElemento [1]:
"Exercício";"Mês";"Órgão_Código";"Órgão_Nome";"Categoria_Código";"Categoria_Nome";"Natureza_Código";"Natureza_Nome";"Elemento_Código";"Elemento_Nome";"Orçamento_Inicial";"Orçamento_Atualizado";"Despesa_Empenhada";"%_Despesa_Emp.";"Despesa_Liquidada";"%_Despesa_Liq.";"Despesa_Paga";"%_Despesa_Paga"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"332093";"INDENIZAÇÕES E RESTITUIÇÕES";"2.500,00";"2.500,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"333041";"CONTRIBUIÇÕES";"15.000,00";"645.000,00";"600.000,00";"4.000,00";"54.439,87";"362,93";"19.773,37";"131,82"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"333093";"INDENIZAÇÕES E RESTITUIÇÕES";"1.500,00";"1.500,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"335041";"CONTRIBUIÇÕES";"41.900,00";"41.900,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339014";"DIÁRIAS - PESSOAL CIVIL";"20.000,00";"19.935,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339030";"MATERIAL DE CONSUMO";"1.210.500,00";"1.141.157,78";"27.704,64";"2,29";"3.866,10";"0,32";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339033";"PASSAGENS E DESPESAS COM LOCOMOÇÃO";"55.172,00";"55.172,00";"7.000,00";"12,69";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339035";"SERVIÇOS DE CONSULTORIA";"2.757.400,00";"2.757.400,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339036";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA";"576.877,00";"576.877,00";"77.347,86";"13,41";"77.347,86";"13,41";"77.347,86";"13,41"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339037";"LOCAÇÃO DE MÃO-DE-OBRA";"52.000,00";"294.838,32";"219.973,69";"423,03";"19.009,83";"36,56";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339039";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"46.573.114,00";"43.443.534,75";"5.569.396,79";"11,96";"503.921,10";"1,08";"135.721,03";"0,29"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339040";"SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ";"2.146.153,00";"2.694.912,59";"1.241.108,73";"57,83";"1.928,67";"0,09";"102,67";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339046";"AUXÍLIO-ALIMENTAÇÃO";"2.317.057,00";"2.317.057,00";"378.373,93";"16,33";"378.373,93";"16,33";"378.373,93";"16,33"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339047";"OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS";"2.000,00";"2.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339049";"AUXÍLIO-TRANSPORTE";"662.402,00";"662.402,00";"40.492,56";"6,11";"40.492,56";"6,11";"40.492,56";"6,11"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339092";"DESPESAS DE EXERCÍCIOS ANTERIORES";"68.000,00";"764.343,81";"535.619,88";"787,68";"535.619,88";"787,68";"532.959,53";"783,76"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339093";"INDENIZAÇÕES E RESTITUIÇÕES";"11.000,00";"11.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Fevereiro";"7500";"SECRETARIA MUNICIPAL DO MEIO AMBIENTE E  SUSTENTABILIDADE";"3";"DESPESAS CORRENTES";"33";"OUTRAS DESPESAS CORRENTES";"339139";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"285.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
